Model,Validation MAE,Test MAE,Test RMSE,Test R2
CatBoost,1.078973948175043,0.8949034016501757,2.7433988971705072,0.9983236388379904
LightGBM,1.1823441856231995,0.9797492200949628,2.837925031268018,0.998206127763733
XGBoost,1.2168093134178164,1.0155705878568084,2.846779172053287,0.998194916773714
